,event_id,event_term,event_rate,event_amt,is_success_v,event_level_A,event_level_B,event_level_C,prev_count_A,prev_count_A_neg,prev_count_C,prev_count_C_neg,prev_count_D,prev_count_D_neg,prev_count_N,prev_count_N_neg,prev_count_P,prev_count_P_neg,gender,age,edu_bg,marriage_situ_cd,cust_no,prod_id_by_DT,real_prod_id,is_success,pred_label,pred_list,hit
0,0.0,60.0,0.0,0.0,1,1,0,0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0,35,4.0,20.0,B9E9813A366B1E40B5BF2598B2137C39,C0001,C0001,1,2,['C0001'],1
1,0.0,60.0,0.0,0.0,1,1,0,0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35,3.0,20.0,98195B3D1DFA095858602BB27FF46127,C0001,C0001,1,2,['C0001'],1
2,0.0,60.0,0.0,0.0,1,1,0,0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35,4.204527419287475,22.148731784086497,6AD278E3C32827D15304229C19B7A0E7,C0001,C0001,1,2,['C0001'],1
3,0.0,60.0,0.0,0.0,1,1,0,0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35,4.204527419287475,22.148731784086497,0C805133E1CB77277B5B2252A2B2A74A,C0001,C0001,1,2,['C0001'],1
4,0.0,60.0,0.0,0.0,1,1,0,0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35,4.204527419287475,22.148731784086497,0C805133E1CB77277B5B2252A2B2A74A,C0001,P0001,1,2,['C0001'],0
5,0.0,60.0,0.0,0.0,1,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35,3.0,20.0,99B456F14BCA16A9637281F635666780,C0001,C0001,1,2,['C0001'],1
6,0.0,60.0,0.0,0.0,1,1,0,0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35,4.0,20.0,43922B732D2643E6856FA91B0BE62596,C0001,C0001,1,2,['C0001'],1
7,0.0,60.0,0.0,0.0,1,0,0,1,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,35,3.0,20.0,F38914056C389A52C57CCF71C498AAE3,C0001,C0001,0,2,['C0001'],1
8,0.0,60.0,0.0,0.0,1,1,0,0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,35,4.0,20.0,DA1F951981D656DF55111E289D86A0E4,C0001,C0001,1,2,['C0001'],1
9,0.0,60.0,0.0,0.0,1,1,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,7.0,20.0,480249CA90347CC89854DDC39A4575D2,C0001,C0001,1,2,['C0001'],1
10,0.0,60.0,0.0,0.0,1,1,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,7.0,20.0,480249CA90347CC89854DDC39A4575D2,C0001,C0007,1,2,['C0001'],0
11,0.0,60.0,0.0,0.0,1,1,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35,3.0,20.0,8504D504D308622F80031BC6423EFFDE,C0001,C0001,1,2,['C0001'],1
