,event_id,event_term,event_rate,event_amt,is_success_v,event_level_A,event_level_B,event_level_C,prev_count_A,prev_count_A_neg,prev_count_C,prev_count_C_neg,prev_count_D,prev_count_D_neg,prev_count_N,prev_count_N_neg,prev_count_P,prev_count_P_neg,gender,age,edu_bg,marriage_situ_cd,cust_no,prod_id_by_DT,real_prod_id,is_success,pred_label,pred_list,hit
0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,7.0,10.0,FCA18CEB951BBC9A2F00362C094A906A,N0001,C0001,1,2,"['N0001', 'N0002', 'N0004']",0
1,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,7.0,10.0,FCA18CEB951BBC9A2F00362C094A906A,N0001,N0002,1,2,"['N0001', 'N0002', 'N0004']",1
2,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35,7.0,10.0,7F02CF2C458DF8D2DB5CDA98A9FF5C28,N0001,N0002,1,2,"['N0001', 'N0002', 'N0004']",1
3,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35,7.0,10.0,34DD7B46DD82BB8D86EFFFBB0269BD83,N0001,N0002,1,2,"['N0001', 'N0002', 'N0004']",1
4,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35,7.0,10.0,D1E127306644FBEF8247A5000806123D,N0001,N0002,1,2,"['N0001', 'N0002', 'N0004']",1
5,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1,35,4.0,10.0,F50033EE84BCE1C4EEFCD65817440D9C,N0001,N0001,1,2,"['N0001', 'N0002', 'N0004']",1
6,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,35,4.0,10.0,54D0F28332C244DB45E2686C48AD8F72,N0001,C0001,1,2,"['N0001', 'N0002', 'N0004']",0
7,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,35,4.0,10.0,54D0F28332C244DB45E2686C48AD8F72,N0001,N0002,1,2,"['N0001', 'N0002', 'N0004']",1
8,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,35,4.0,10.0,54D0F28332C244DB45E2686C48AD8F72,N0001,P0001,1,2,"['N0001', 'N0002', 'N0004']",0
9,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35,4.0,10.0,B4D6EDDE812A6681DFE4301BE2A36924,N0001,N0002,1,2,"['N0001', 'N0002', 'N0004']",1
